label,year,journal,paper_type,relevance,paradigm,groups,doi,url,authors,topics,methods,workflows,chemistry,data_regime,validation,why,citations,citation_date
Leveraging Limited Experimental Data with ML in the Corey-Bakshi-Shibata Reduction,2024,JACS,research,core catalysis,Mechanistic ML,Other,10.1021/jacs.4c01286,https://doi.org/10.1021/jacs.4c01286,Dennis Gerbig; Marcel Ruth; Oliver Pereira; Peter R. Schreiner; Raffael C. Wende,Asymmetric catalysis; Catalyst design; Enantioselectivity; Key-intermediate representation; Small data,Graph-based representation; Machine learning; Small-data modeling,Direct GNN reaction workflow; Mechanism-aware transfer workflow,Metal-free CBS reduction of butanone,~100 high-quality reactions run in triplicate,ML-guided catalyst selection increased ee to 80%,Important small-data counterexample: a chemically chosen catalyst-substrate intermediate graph can guide successful catalyst improvement without a full TS model.,,2026-09-04
Ligand Many-Body Expansion for Accelerating Transition-Metal-Complex Discovery,2024,J. Chem. Inf. Model.,research,catalysis-enabling methodology,Transfer / few-shot,Kulik,10.1021/acs.jcim.4c01728,https://doi.org/10.1021/acs.jcim.4c01728,Aditya Nandy; Daniel B. K. Chu; David A. Gonzalez-Narvaez; Heather J. Kulik; Ralf Meyer,Catalyst energetics; Delta learning; Ligand interactions; Low-symmetry complexes; Transition-metal complexes,CCSD(T); Cis interaction model; DFT; Delta learning; Ligand many-body expansion,,Octahedral and square-pyramidal TMCs relevant to catalysis,Enumerated ligand combinations with DFT and high-level reference energetics,Predicts unseen low-symmetry complex and model catalytic reaction energies,A physically structured alternative to black-box learning that explicitly models ligand-ligand interactions.,,2026-09-04
ML-Guided Yield Optimization for Palladaelectro-Catalyzed Annulation,2024,Chem,research,core catalysis,Other / mixed,Hong,10.1016/j.chempr.2024.03.027,https://doi.org/10.1016/j.chempr.2024.03.027,L. Ackermann; X. Hong; X. Hou,C-H activation; Electrocatalysis; Experimental design; Reaction optimization; Yield prediction,Machine learning; Orthogonal experimental design; Physical-organic descriptors,,Enantioselective palladaelectro-catalyzed C-H annulation,"High-dimensional electrochemical condition space including electrodes, electrolyte, solvent and potential/current",ML-guided identification of high-yield conditions in expanded chemical space,Shows the growing importance of experimental-design strategy when reaction conditions become high-dimensional.,,2026-09-04
Probing ML Models from HTE Data for Asymmetric Hydrogenation Catalyst Discovery,2024,Chemical Science,research,core catalysis,Autonomous / HTE,Pidko,10.1039/D4SC03647F,https://doi.org/10.1039/D4SC03647F,Adarsh V. Kalikadien; Cecile Valsecchi; Evgeny A. Pidko; Laurent Lefort; Mikko Muuronen; Natalia Dyubankova; Robbert van Putten; Tor Maes,Asymmetric hydrogenation; Dataset design; Enantioselectivity; HTE; Ligand descriptors; Out-of-domain prediction,DFT descriptors; ECFP; OBeLiX; PCA; Random forest,,Rh-catalyzed asymmetric hydrogenation of olefins,"3,552 HTE data points across 192 Rh catalysts and five substrates; 960 points used for modeling",Explicit in-domain vs out-of-domain tests; costly descriptors did not rescue difficult OOD prediction,Especially valuable negative/diagnostic result showing that expensive ligand descriptors do not automatically solve transfer across substrates.,,2026-09-04
Reaction-Agnostic Featurization of Bidentate Ligands for Bayesian Ridge Regression of Enantioselectivity,2024,ACS Catalysis,research,core catalysis,Bayesian / active learning,Corminboeuf,10.1021/acscatal.4c02452,https://doi.org/10.1021/acscatal.4c02452,Alexandre A. Schoepfer; Clemence Corminboeuf; Jerome Waser; Matthew D. Wodrich; Ruben Laplaza,Asymmetric catalysis; Bayesian optimization; Enantioselectivity; Ligand descriptors; Reaction-agnostic representation,Bayesian optimization; Bayesian ridge regression; Quantum-chemical descriptors; Uncertainty estimates,Reusable ligand-space workflow,Four metal-catalyzed asymmetric reactions; bidentate ligand screening,Cross-reaction bidentate ligand featurization; BDL-Cu-2023 pool of 312 ligands,Prospective ligand-pool screening for a challenging asymmetric oxy-alkynylation,Strong reusable-ligand representation paper: descriptors are designed to be reaction-agnostic and uncertainty supports prospective search.,,2026-09-04
Tailoring Phosphine Ligands for Improved C-H Activation with Delta-Machine Learning,2024,Digital Discovery,research,core catalysis,Ligand-space / screening,Other,10.1039/D4DD00037D,https://doi.org/10.1039/D4DD00037D,Alexander Croy; Robert Geitner; Stefanie Grafe; Tianbai Huang,C-H activation; Delta learning; Homogeneous catalysis; Ligand optimization; Virtual screening,Delta machine learning; Quantum chemistry; Virtual ligand screening,,Phosphine-ligated transition-metal C-H activation,Computed ligand chemical space with lower- and higher-level quantum data,Screening and mechanistic interpretation of ligand modifications,A useful bridge between catalyst descriptors and ML-accelerated quantum chemistry through delta learning.,,2026-09-04
Data-Driven Multi-Objective Optimization of Catalytic Asymmetric Reactions Using Bisphosphine Ligands,2023,JACS,research,core catalysis,Ligand-space / screening,Sigman,10.1021/jacs.2c08513,https://doi.org/10.1021/jacs.2c08513,Jacob C. Timmerman; Jordan J. Dotson; Kyle A. Mack; Lucy van Dijk; Matthew S. Sigman; Samantha Grosslight,Asymmetric catalysis; Catalyst screening; Ligand descriptor libraries; Ligand optimization; Multi-objective optimization,Chemical-space mapping; Classification; DFT descriptor database; Linear regression,Reusable ligand-space workflow,Chiral bisphosphine-controlled asymmetric reaction sequence for an API,>550 DFT-characterized bisphosphine ligands,Predicted ligands experimentally improved multiple reaction objectives,Important precursor to newer reusable ligand-space workflows and a major demonstration of multi-objective catalyst optimization.,101,2026-09-04
Hybrid ML Prediction of Site Selectivity in Iridium-Catalyzed Arene Borylation,2023,JACS,research,core catalysis,Mechanistic ML,Hartwig,10.1021/jacs.3c04986,https://doi.org/10.1021/jacs.3c04986,Christian Skold; Eike Caldeweyher; Golsa Gheibi; John F. Hartwig; Magnus Johansson; Masha Elkin; Per-Ola Norrby,C-H borylation; Hybrid modeling; Pharmaceutical chemistry; Regioselectivity; Site selectivity,Cheminformatics; DFT; Linear regression; Machine learning; Semiempirical QM,Mechanism-aware transfer workflow,Ir-catalyzed arene C-H borylation,Hybrid computed and experimental site-selectivity data,Prospective pharmaceutical-intermediate predictions; outperformed prior ML and human experts,"Early Hartwig example of chemistry-informed hybrid ML, preceding the group's later 3D/TS-informed deep-learning work.",,2026-09-04
Identifying Underexplored Regions in Transition-Metal-Complex Chemical Space,2023,J. Phys. Chem. Lett.,research,catalysis-enabling methodology,Ligand-space / screening,Kulik,10.1021/acs.jpclett.3c01214,https://doi.org/10.1021/acs.jpclett.3c01214,Aditya Nandy; Heather J. Kulik; Michael G. Taylor,Catalyst design; Chemical-space mapping; Dataset bias; Representation; Transition-metal complexes,Chemical-space analysis; Large-scale structural data mining,,Mononuclear transition-metal complex space,">240,000 crystallized mononuclear TMCs","Analysis of coordination, metal and donor-space undersampling",Important context for catalyst ML: experimental TMC space is highly biased and leaves whole regions underrepresented.,,2026-09-04
Using Data Science for Mechanistic Insights and Selectivity Predictions in a Non-Natural Biocatalytic Reaction,2023,JACS,research,core catalysis,Mechanistic ML,Sigman,10.1021/jacs.3c03639,https://doi.org/10.1021/jacs.3c03639,Autumn R. Flynn; Bryce T. Nicholls; Daria Grosheva; Hanna D. Clements; Matthew S. Sigman; Morgan T. Merriman; Sarah J. Lefave; Todd K. Hyster,Biocatalysis; Interpretable ML; Mechanistic discovery; Out-of-sample prediction; Selectivity prediction,Experimental validation; Statistical modeling; Structure-selectivity descriptors,,Non-natural ene-reductase catalysis (GluER-T36A),Substrate/mutant reaction-space dataset,Out-of-sample substrates and enzyme mutants,Shows the same chemistry-first statistical framework extending beyond molecular catalysts to enzyme variant/substrate spaces.,31,2026-09-04
KRAKEN: Organophosphorus Ligand Discovery Platform,2022,JACS,research,core catalysis,Ligand-space / screening,Sigman,10.1021/jacs.1c09718,https://doi.org/10.1021/jacs.1c09718,Alán Aspuru-Guzik; Gabriel dos Passos Gomes; Matthew S. Sigman; Tobias Gensch,Catalyst screening; Conformer ensembles; Ligand descriptor libraries; Virtual ligand space,DFT descriptors; ML surrogate models; PCA / chemical-space mapping,Reusable ligand-space workflow,Organophosphorus ligands; homogeneous catalysis,"1,558 DFT ligands; >300,000 ML-predicted ligands",Retrospective catalysis case studies / ligand selection,"Blueprint for reusable, precomputed ligand chemical spaces.",293,2026-09-03
